FSM_ID FSMStates FSMInputs FSMOutputs FSMSize W_Time W_Memory SIS_Tr SIS_Size SIS_Cost TS_Size TS_Cost Algorithm
32 10 6 6 60 0 0.902344 1434 60 144 420 1368 MWA
33 10 6 6 60 0 0.777344 234 1 38 121 518 OWA
33 10 6 6 60 0 0.828125 1479 60 190 420 1690 CWA
33 10 6 6 60 0 0.851562 1479 60 150 420 1410 MWA
34 10 6 6 60 0 0.765625 239 1 25 61 283 OWA
34 10 6 6 60 0 0.8125 1518 50 145 350 1315 CWA
34 10 6 6 60 0 0.902344 1518 60 138 420 1326 MWA
35 10 6 6 60 0 0.722656 241 1 22 61 280 OWA
35 10 6 6 60 0 0.761719 1557 70 201 490 1827 CWA
35 10 6 6 60 0 0.804688 1557 60 138 420 1326 MWA
36 10 6 6 60 0 0.738281 246 1 25 61 289 OWA
36 10 6 6 60 0 0.777344 1599 60 174 420 1578 CWA
36 10 6 6 60 0 0.902344 1599 60 144 420 1368 MWA
37 10 6 6 60 0 0.785156 256 1 60 181 792 OWA
37 10 6 6 60 0 0.902344 1641 70 208 490 1876 CWA
37 10 6 6 60 0 0.902344 1641 60 144 420 1368 MWA
38 10 6 6 60 0 0.757812 266 1 60 181 756 OWA
38 10 6 6 60 0 0.902344 1677 80 226 560 2062 CWA
38 10 6 6 60 0 0.902344 1677 60 132 420 1284 MWA
39 10 6 6 60 0 0.835938 273 1 57 241 933 OWA
39 10 6 6 60 0 0.902344 1719 70 208 490 1876 CWA
39 10 6 6 60 0 0.9375 1719 60 144 420 1368 MWA
40 10 6 6 60 0 0.9375 277 1 54 181 804 OWA
40 10 6 6 60 0 0.9375 1764 70 215 490 1925 CWA
40 10 6 6 60 0 0.9375 1764 60 150 420 1410 MWA
41 10 6 6 60 0 0.753906 282 1 35 121 539 OWA
41 10 6 6 60 0 0.9375 1815 70 229 490 2023 CWA
41 10 6 6 60 0 0.933594 1815 60 162 420 1494 MWA
42 10 6 6 60 0 0.8125 287 1 35 121 491 OWA
42 10 6 6 60 0 0.816406 1854 60 178 420 1606 CWA
42 10 6 6 60 0 0.9375 1854 60 138 420 1326 MWA
44 10 6 6 60 0 0.757812 296 1 39 121 567 OWA
44 10 6 6 60 0 0.8125 1911 70 243 490 2121 CWA
44 10 6 6 60 0 0.9375 1911 60 174 420 1578 MWA
45 10 6 6 60 0 0.75 309 1 43 121 511 OWA
45 10 6 6 60 0 0.9375 1953 70 208 490 1876 CWA
45 10 6 6 60 0 0.9375 1953 60 144 420 1368 MWA
46 10 6 6 60 0 0.792969 317 1 48 181 702 OWA
46 10 6 6 60 0 0.804688 1992 70 201 490 1827 CWA
46 10 6 6 60 0 0.9375 1992 60 138 420 1326 MWA
47 10 6 6 60 0 0.773438 322 1 35 121 491 OWA
47 10 6 6 60 0 0.808594 2031 70 201 490 1827 CWA
47 10 6 6 60 0 0.9375 2031 60 138 420 1326 MWA
48 10 6 6 60 0 0.769531 332 1 40 121 496 OWA
48 10 6 6 60 0 0.8125 2070 70 201 490 1827 CWA
48 10 6 6 60 0 0.839844 2070 60 138 420 1326 MWA
49 10 6 6 60 0 0.765625 335 1 33 121 489 OWA
49 10 6 6 60 0 0.9375 2109 70 201 490 1827 CWA
49 10 6 6 60 0 0.9375 2109 60 138 420 1326 MWA
50 10 6 6 60 0 0.785156 339 1 54 181 786 OWA
50 10 6 6 60 0 0.9375 2151 60 174 420 1578 CWA
50 10 6 6 60 0 0.9375 2151 60 144 420 1368 MWA
51 10 6 6 60 0 0.832031 343 1 24 61 282 OWA
51 10 6 6 60 0 0.9375 2190 70 201 490 1827 CWA
51 10 6 6 60 0 0.9375 2190 60 138 420 1326 MWA
52 10 6 6 60 0 0.804688 351 1 38 121 494 OWA
52 10 6 6 60 0 0.9375 2229 70 201 490 1827 CWA
52 10 6 6 60 0 0.9375 2229 60 138 420 1326 MWA
53 10 6 6 60 0 0.804688 352 1 51 181 765 OWA
53 10 6 6 60 0 0.9375 2268 60 168 420 1536 CWA
